0,80
1,92
2,17
3,41
4,100
5,49
6,12
7,6
8,75
9,10
10,25
11,5
12,68
13,86
14,58
15,70
16,66
17,73
18,69
19,86
20,38
21,80
22,61
23,31
24,75
25,85
26,21
27,82
28,69
29,83
30,6
31,24
32,34
33,59
34,42
35,57
36,14
37,51
38,38
39,54
40,63
41,63
42,5
43,70
44,16
45,15
46,67
47,26
48,11
49,6
50,93
51,20
52,43
53,2
54,22
55,46
56,59
57,10
58,44
59,90
60,37
0,85
1,57
2,31
3,78
4,6
5,58
6,67
7,37
8,43
9,81
10,50
11,30
12,23
13,59
14,43
15,70
16,52
17,51
18,70
19,4
20,48
21,96
22,15
23,92
24,93
25,45
26,2
27,51
28,1
0,60
1,67
2,52
3,69
4,15
5,91
6,47
7,40
8,70
9,22
10,97
11,16
12,42
13,94
14,85
15,27
16,4
17,59
18,91
19,9
20,46
21,15
22,50
23,98
24,11
25,20
26,38
27,65
28,92
29,0
30,34
31,100
32,39
33,48
34,77
35,44
36,41
37,60
38,59
